iter	Passed	Remaining
891	3704	448
892	3708	444
893	3712	440
894	3716	436
895	3720	431
896	3725	427
897	3729	423
898	3733	419
899	3738	415
900	3742	411
901	3746	407
902	3751	402
903	3754	398
904	3759	394
905	3763	390
906	3767	386
907	3771	382
908	3775	377
909	3779	373
910	3784	369
911	3788	365
912	3792	361
913	3797	357
914	3800	353
915	3805	348
916	3809	344
917	3813	340
918	3817	336
919	3821	332
920	3826	328
921	3830	324
922	3835	319
923	3839	315
924	3843	311
925	3847	307
926	3851	303
927	3855	299
928	3859	294
929	3863	290
930	3867	286
931	3871	282
932	3875	278
933	3880	274
934	3884	270
935	3889	265
936	3892	261
937	3896	257
938	3901	253
939	3905	249
940	3908	245
941	3912	240
942	3916	236
943	3920	232
944	3924	228
945	3929	224
946	3933	220
947	3937	215
948	3941	211
949	3945	207
950	3949	203
951	3954	199
952	3958	195
953	3963	191
954	3967	186
955	3971	182
956	3975	178
957	3979	174
958	3983	170
959	3988	166
960	3992	162
961	3996	157
962	4000	153
963	4004	149
964	4009	145
965	4013	141
966	4017	137
967	4021	132
968	4025	128
969	4029	124
970	4033	120
971	4038	116
972	4043	112
973	4048	108
974	4052	103
975	4056	99
976	4060	95
977	4065	91
978	4069	87
979	4073	83
980	4078	78
981	4082	74
982	4086	70
983	4090	66
984	4094	62
985	4098	58
986	4103	54
987	4107	49
988	4111	45
989	4115	41
990	4120	37
991	4124	33
992	4128	29
993	4132	24
994	4136	20
995	4140	16
996	4144	12
997	4149	8
998	4153	4
999	4157	0
