Model,Version,MAE,RMSE,R²,Adjusted R²
LightGBM,Tuned,0.734451250768053,1.3825571326625428,0.9970011411332291,0.9969967816712443
Extra Trees,Tuned,0.6331076055324758,1.3931859608178678,0.9969548546157334,0.9969504278667163
XGBoost,Tuned,0.9593608407917912,1.5579555569630485,0.9961919733211675,0.9961864375663083
